datum;celkovy_cas;aktualny_cas
2022-10-05T17:30Z;00:00;00:00
2022-10-05T17:30Z;00:00;00:00
2022-10-05T17:30Z;00:01;00:00
2022-10-05T17:30Z;00:01;00:00
2022-10-05T17:30Z;00:01;00:00
2022-10-05T17:30Z;00:02;00:00
2022-10-05T17:30Z;00:02;00:00
2022-10-05T17:30Z;00:02;00:00
2022-10-05T17:30Z;00:03;00:00
2022-10-05T17:30Z;00:03;00:00
2022-10-05T17:30Z;00:04;00:00
2022-10-05T17:30Z;00:04;00:00
2022-10-05T17:30Z;00:04;00:00
2022-10-05T17:30Z;00:05;00:00
2022-10-05T17:30Z;00:05;00:00
2022-10-05T17:30Z;00:05;00:00
2022-10-05T17:30Z;00:06;00:00
2022-10-05T17:30Z;00:06;00:00
2022-10-05T17:30Z;00:06;00:00
2022-10-05T17:30Z;00:07;00:00
2022-10-05T17:30Z;00:07;00:00
2022-10-05T17:30Z;00:08;00:00
2022-10-05T17:30Z;00:08;00:00
2022-10-05T17:30Z;00:08;00:00
2022-10-05T17:30Z;00:09;00:00
2022-10-05T17:30Z;00:09;00:00
2022-10-05T17:30Z;00:09;00:00
2022-10-05T17:30Z;00:10;00:00
2022-10-05T17:30Z;00:10;00:00
2022-10-05T17:30Z;00:11;00:00
2022-10-05T17:30Z;00:11;00:00
2022-10-05T17:30Z;00:11;00:00
2022-10-05T17:30Z;00:12;00:00
2022-10-05T17:30Z;00:12;00:00
2022-10-05T17:30Z;00:12;00:00
2022-10-05T17:30Z;00:13;00:00
2022-10-05T17:30Z;00:13;00:00
2022-10-05T17:30Z;00:14;00:00
2022-10-05T17:30Z;00:14;00:00
2022-10-05T17:30Z;00:14;00:00
2022-10-05T17:30Z;00:15;00:00
2022-10-05T17:30Z;00:15;00:00
2022-10-05T17:30Z;00:15;00:00
2022-10-05T17:30Z;00:16;00:00
2022-10-05T17:30Z;00:16;00:00
2022-10-05T17:30Z;00:17;00:00
2022-10-05T17:30Z;00:17;00:00
2022-10-05T17:30Z;00:17;00:00
2022-10-05T17:30Z;00:18;00:00
2022-10-05T17:30Z;00:18;00:00
2022-10-05T17:30Z;00:19;00:00
2022-10-05T17:30Z;00:19;00:00
2022-10-05T17:30Z;00:19;00:00
2022-10-05T17:30Z;00:20;00:00
2022-10-05T17:30Z;00:20;00:00
2022-10-05T17:31Z;00:20;00:00
2022-10-05T17:31Z;00:21;00:00
2022-10-05T17:31Z;00:21;00:00
2022-10-05T17:31Z;00:22;00:00
2022-10-05T17:31Z;00:22;00:00
2022-10-05T17:31Z;00:22;00:00
2022-10-05T17:31Z;00:23;00:00
2022-10-05T17:31Z;00:23;00:00
2022-10-05T17:31Z;00:23;00:00
2022-10-05T17:31Z;00:24;00:00
2022-10-05T17:31Z;00:24;00:00
2022-10-05T17:31Z;00:25;00:00
2022-10-05T17:31Z;00:25;00:00
2022-10-05T17:31Z;00:25;00:00
2022-10-05T17:31Z;00:26;00:00
2022-10-05T17:31Z;00:26;00:00
2022-10-05T17:31Z;00:27;00:00
2022-10-05T17:31Z;00:27;00:00
2022-10-05T17:31Z;00:27;00:00
2022-10-05T17:31Z;00:28;00:00
2022-10-05T17:31Z;00:28;00:00
2022-10-05T17:31Z;00:29;00:00
2022-10-05T17:31Z;00:29;00:00
2022-10-05T17:31Z;00:29;00:00
2022-10-05T17:31Z;00:30;00:00
2022-10-05T17:31Z;00:30;00:00
2022-10-05T17:31Z;00:30;00:00
2022-10-05T17:31Z;00:31;00:00
2022-10-05T17:31Z;00:31;00:00
2022-10-05T17:31Z;00:32;00:00
2022-10-05T17:31Z;00:32;00:00
2022-10-05T17:31Z;00:32;00:00
2022-10-05T17:31Z;00:33;00:00
2022-10-05T17:31Z;00:33;00:00
2022-10-05T17:31Z;00:33;00:00
2022-10-05T17:31Z;00:34;00:00
2022-10-05T17:31Z;00:34;00:00
2022-10-05T17:31Z;00:35;00:00
2022-10-05T17:31Z;00:35;00:00
2022-10-05T17:31Z;00:35;00:00
2022-10-05T17:31Z;00:36;00:00
2022-10-05T17:31Z;00:36;00:00
2022-10-05T17:31Z;00:37;00:00
2022-10-05T17:31Z;00:37;00:00
2022-10-05T17:31Z;00:37;00:00
2022-10-05T17:31Z;00:38;00:00
2022-10-05T17:31Z;00:38;00:00
2022-10-05T17:31Z;00:39;00:00
2022-10-05T17:31Z;00:39;00:00
2022-10-05T17:31Z;00:39;00:00
2022-10-05T17:31Z;00:40;00:00
2022-10-05T17:31Z;00:40;00:00
2022-10-05T17:31Z;00:40;00:00
2022-10-05T17:31Z;00:41;00:00
2022-10-05T17:31Z;00:41;00:00
2022-10-05T17:31Z;00:42;00:00
2022-10-05T17:31Z;00:42;00:00
2022-10-05T17:31Z;00:42;00:00
2022-10-05T17:31Z;00:43;00:00
2022-10-05T17:31Z;00:43;00:00
2022-10-05T17:31Z;00:43;00:00
2022-10-05T17:31Z;00:44;00:00
2022-10-05T17:31Z;00:44;00:00
2022-10-05T17:31Z;00:45;00:00
2022-10-05T17:31Z;00:45;00:00
2022-10-05T17:31Z;00:45;00:00
2022-10-05T17:31Z;00:46;00:00
2022-10-05T17:31Z;00:46;00:00
2022-10-05T17:31Z;00:47;00:00
2022-10-05T17:31Z;00:47;00:00
2022-10-05T17:31Z;00:47;00:00
2022-10-05T17:31Z;00:48;00:00
2022-10-05T17:31Z;00:48;00:00
2022-10-05T17:31Z;00:48;00:00
2022-10-05T17:31Z;00:49;00:00
2022-10-05T17:31Z;00:49;00:00
2022-10-05T17:31Z;00:50;00:00
2022-10-05T17:31Z;00:50;00:00
2022-10-05T17:31Z;00:50;00:00
2022-10-05T17:31Z;00:51;00:00
2022-10-05T17:31Z;00:51;00:00
2022-10-05T17:31Z;00:51;00:00
2022-10-05T17:31Z;00:52;00:00
2022-10-05T17:31Z;00:52;00:00
2022-10-05T17:31Z;00:53;00:00
2022-10-05T17:31Z;00:53;00:00
2022-10-05T17:31Z;00:53;00:00
2022-10-05T17:31Z;00:54;00:00
2022-10-05T17:31Z;00:54;00:00
2022-10-05T17:31Z;00:55;00:00
2022-10-05T17:31Z;00:55;00:00
2022-10-05T17:31Z;00:55;00:00
2022-10-05T17:31Z;00:56;00:00
2022-10-05T17:31Z;00:56;00:00
2022-10-05T17:31Z;00:57;00:00
2022-10-05T17:31Z;00:57;00:00
2022-10-05T17:31Z;00:57;00:00
2022-10-05T17:31Z;00:58;00:00
2022-10-05T17:31Z;00:58;00:00
2022-10-05T17:31Z;00:59;00:00
2022-10-05T17:31Z;00:59;00:00
2022-10-05T17:31Z;00:59;00:00
2022-10-05T17:31Z;01:00;00:00
2022-10-05T17:31Z;01:00;00:00
2022-10-05T17:31Z;01:01;00:00
2022-10-05T17:31Z;01:01;00:00
2022-10-05T17:31Z;01:01;00:00
2022-10-05T17:31Z;01:02;00:00
2022-10-05T17:31Z;01:02;00:00
2022-10-05T17:31Z;01:02;00:00
2022-10-05T17:31Z;01:03;00:00
2022-10-05T17:31Z;01:03;00:00
2022-10-05T17:31Z;01:04;00:00
2022-10-05T17:31Z;01:04;00:00
2022-10-05T17:31Z;01:04;00:00
2022-10-05T17:31Z;01:05;00:00
2022-10-05T17:31Z;01:05;00:00
2022-10-05T17:31Z;01:06;00:00
2022-10-05T17:31Z;01:06;00:00
2022-10-05T17:31Z;01:06;00:00
2022-10-05T17:31Z;01:07;00:00
2022-10-05T17:31Z;01:07;00:00
2022-10-05T17:31Z;01:07;00:00
2022-10-05T17:31Z;01:08;00:00
2022-10-05T17:31Z;01:08;00:00
2022-10-05T17:31Z;01:09;00:00
2022-10-05T17:31Z;01:09;00:00
2022-10-05T17:31Z;01:09;00:00
2022-10-05T17:31Z;01:10;00:00
2022-10-05T17:31Z;01:10;00:00
2022-10-05T17:31Z;01:10;00:00
2022-10-05T17:31Z;01:11;00:00
2022-10-05T17:31Z;01:11;00:00
2022-10-05T17:31Z;01:12;00:00
2022-10-05T17:31Z;01:12;00:00
2022-10-05T17:31Z;01:12;00:00
2022-10-05T17:31Z;01:13;00:00
2022-10-05T17:31Z;01:13;00:00
2022-10-05T17:31Z;01:14;00:00
2022-10-05T17:31Z;01:14;00:00
2022-10-05T17:31Z;01:14;00:00
2022-10-05T17:31Z;01:15;00:00
2022-10-05T17:31Z;01:15;00:00
2022-10-05T17:31Z;01:15;00:00
2022-10-05T17:31Z;01:16;00:00
2022-10-05T17:31Z;01:16;00:00
2022-10-05T17:31Z;01:17;00:00
2022-10-05T17:31Z;01:17;00:00
2022-10-05T17:31Z;01:17;00:00
2022-10-05T17:31Z;01:18;00:00
2022-10-05T17:31Z;01:18;00:00
2022-10-05T17:31Z;01:18;00:00
2022-10-05T17:31Z;01:19;00:00
2022-10-05T17:31Z;01:19;00:00
2022-10-05T17:31Z;01:20;00:00
2022-10-05T17:31Z;01:20;00:00
2022-10-05T17:32Z;01:21;00:00
2022-10-05T17:32Z;01:21;00:00
2022-10-05T17:32Z;01:21;00:00
2022-10-05T17:32Z;01:22;00:00
2022-10-05T17:32Z;01:22;00:00
2022-10-05T17:32Z;01:23;00:00
2022-10-05T17:32Z;01:23;00:00
2022-10-05T17:32Z;01:23;00:00
2022-10-05T17:32Z;01:24;00:00
2022-10-05T17:32Z;01:24;00:00
2022-10-05T17:32Z;01:24;00:00
2022-10-05T17:32Z;01:25;00:00
2022-10-05T17:32Z;01:25;00:00
2022-10-05T17:32Z;01:26;00:00
2022-10-05T17:32Z;01:26;00:00
2022-10-05T17:32Z;01:26;00:00
2022-10-05T17:32Z;01:27;00:00
2022-10-05T17:32Z;01:27;00:00
2022-10-05T17:32Z;01:28;00:00
2022-10-05T17:32Z;01:28;00:00
2022-10-05T17:32Z;01:28;00:00
2022-10-05T17:32Z;01:29;00:00
2022-10-05T17:32Z;01:29;00:00
2022-10-05T17:32Z;01:29;00:00
2022-10-05T17:32Z;01:30;00:00
2022-10-05T17:32Z;01:30;00:00
2022-10-05T17:32Z;01:31;00:00
2022-10-05T17:32Z;01:31;00:00
2022-10-05T17:32Z;01:31;00:00
2022-10-05T17:32Z;01:32;00:00
2022-10-05T17:32Z;01:32;00:00
2022-10-05T17:32Z;01:33;00:00
2022-10-05T17:32Z;01:33;00:00
2022-10-05T17:32Z;01:33;00:00
2022-10-05T17:32Z;01:34;00:00
2022-10-05T17:32Z;01:34;00:00
2022-10-05T17:32Z;01:35;00:00
2022-10-05T17:32Z;01:35;00:00
2022-10-05T17:32Z;01:35;00:00
2022-10-05T17:32Z;01:36;00:00
2022-10-05T17:32Z;01:36;00:00
2022-10-05T17:32Z;01:36;00:00
2022-10-05T17:32Z;01:37;00:00
2022-10-05T17:32Z;01:37;00:00
2022-10-05T17:32Z;01:38;00:00
2022-10-05T17:32Z;01:38;00:00
2022-10-05T17:32Z;01:38;00:00
2022-10-05T17:32Z;01:39;00:00
2022-10-05T17:32Z;01:39;00:00
2022-10-05T17:32Z;01:39;00:00
2022-10-05T17:32Z;01:40;00:00
2022-10-05T17:32Z;01:40;00:00
2022-10-05T17:32Z;01:41;00:00
2022-10-05T17:32Z;01:41;00:00
2022-10-05T17:32Z;01:41;00:00
2022-10-05T17:32Z;01:42;00:00
2022-10-05T17:32Z;01:42;00:00
2022-10-05T17:32Z;01:42;00:00
2022-10-05T17:32Z;01:43;00:00
2022-10-05T17:32Z;01:43;00:00
2022-10-05T17:32Z;01:44;00:00
2022-10-05T17:32Z;01:44;00:00
2022-10-05T17:32Z;01:44;00:00
2022-10-05T17:32Z;01:45;00:00
2022-10-05T17:32Z;01:45;00:00
2022-10-05T17:32Z;01:45;00:00
2022-10-05T17:32Z;01:46;00:00
2022-10-05T17:32Z;01:46;00:00
2022-10-05T17:32Z;01:47;00:00
2022-10-05T17:32Z;01:47;00:00
2022-10-05T17:32Z;01:48;00:00
2022-10-05T17:32Z;01:48;00:00
2022-10-05T17:32Z;01:48;00:00
2022-10-05T17:32Z;01:49;00:00
2022-10-05T17:32Z;01:49;00:00
2022-10-05T17:32Z;01:49;00:00
2022-10-05T17:32Z;01:50;00:00
2022-10-05T17:32Z;01:50;00:00
2022-10-05T17:32Z;01:51;00:00
2022-10-05T17:32Z;01:51;00:00
2022-10-05T17:32Z;01:51;00:00
2022-10-05T17:32Z;01:52;00:00
2022-10-05T17:32Z;01:52;00:00
2022-10-05T17:32Z;01:53;00:00
2022-10-05T17:32Z;01:53;00:00
2022-10-05T17:32Z;01:53;00:00
2022-10-05T17:32Z;01:54;00:00
2022-10-05T17:32Z;01:54;00:00
2022-10-05T17:32Z;01:55;00:00
2022-10-05T17:32Z;01:55;00:00
2022-10-05T17:32Z;01:55;00:00
2022-10-05T17:32Z;01:56;00:00
2022-10-05T17:32Z;01:56;00:00
2022-10-05T17:32Z;01:57;00:00
2022-10-05T17:32Z;01:57;00:00
2022-10-05T17:32Z;01:57;00:00
2022-10-05T17:32Z;01:58;00:00
2022-10-05T17:32Z;01:58;00:00
2022-10-05T17:32Z;01:59;00:00
2022-10-05T17:32Z;01:59;00:00
2022-10-05T17:32Z;01:59;00:00
2022-10-05T17:32Z;02:00;00:00
2022-10-05T17:32Z;02:00;00:00
2022-10-05T17:32Z;02:00;00:00
2022-10-05T17:32Z;02:01;00:00
2022-10-05T17:32Z;02:01;00:00
2022-10-05T17:32Z;02:01;00:00
2022-10-05T17:32Z;02:02;00:00
2022-10-05T17:32Z;02:02;00:00
2022-10-05T17:32Z;02:03;00:00
2022-10-05T17:32Z;02:03;00:00
2022-10-05T17:32Z;02:03;00:00
2022-10-05T17:32Z;02:04;00:00
2022-10-05T17:32Z;02:04;00:00
2022-10-05T17:32Z;02:05;00:00
2022-10-05T17:32Z;02:05;00:00
2022-10-05T17:32Z;02:05;00:00
2022-10-05T17:32Z;02:06;00:00
2022-10-05T17:32Z;02:06;00:00
2022-10-05T17:32Z;02:06;00:00
2022-10-05T17:32Z;02:07;00:00
2022-10-05T17:32Z;02:07;00:00
